"name","kingdom","class","phylum","scientificName","family","species","order","genus","yearPublished","populationTrend","biogeographicalRealms","systems","scopes","lastAssessed","estimatedPopulation","threats","habitats"
"Olomao","animalia","aves","chordata","Myadestes lanaiensis","turdidae","lanaiensis","passeriformes","myadestes",2016,"Unknown","Oceanian","Terrestrial","Global","01 October 2016",NA,"Invasive and other problematic species, genes & diseases;Climate change & severe weather","Forest"
"Puaiohi","animalia","aves","chordata","Myadestes palmeri","turdidae","palmeri","passeriformes","myadestes",2016,"Stable","Oceanian","Terrestrial","Global","01 October 2016",NA,"Invasive and other problematic species, genes & diseases;Climate change & severe weather","Forest"
"Santa Marta Wren","animalia","aves","chordata","Troglodytes monticola","troglodytidae","monticola","passeriformes","troglodytes",2016,"Decreasing","Neotropical","Terrestrial","Global","01 October 2016",NA,"Agriculture & aquaculture;Biological resource use;Natural system modifications","Forest;Shrubland;Grassland"
"Saint Croix Racer","animalia","reptilia","chordata","Borikenophis sanctaecrucis","dipsadidae","sanctaecrucis","squamata","borikenophis",2016,"Unknown","Neotropical","Terrestrial","Global","22 July 2015",NA,"Residential & commercial development;Invasive and other problematic species, genes & diseases","Forest"
NA,"animalia","reptilia","chordata","Vipera orlovi","viperidae","orlovi","squamata","vipera",2009,"Decreasing","Palearctic","Terrestrial","Global","14 December 2008",NA,"Biological resource use","Forest;Shrubland;Grassland"
NA,"animalia","amphibia","chordata","Bolitoglossa oresbia","plethodontidae","oresbia","caudata","bolitoglossa",2006,"Decreasing","Neotropical","Terrestrial","Global","31 January 2006",NA,"Agriculture & aquaculture;Pollution","Forest"
"Jenkin's Shrew","animalia","mammalia","chordata","Crocidura jenkinsi","soricidae","jenkinsi","eulipotyphla","crocidura",2016,"Decreasing","Indomalayan","Terrestrial","Global","11 July 2016",NA,"Residential & commercial development;Agriculture & aquaculture;Biological resource use;Geological events;Climate change & severe weather","Forest"
"Nicobar Shrew","animalia","mammalia","chordata","Crocidura nicobarica","soricidae","nicobarica","eulipotyphla","crocidura",2016,"Decreasing","Indomalayan","Terrestrial","Global","11 July 2016",NA,"Residential & commercial development;Agriculture & aquaculture;Biological resource use;Geological events;Climate change & severe weather","Forest"
"Turks Islands Skink","animalia","reptilia","chordata","Spondylurus turksae","scincidae","turksae","squamata","spondylurus",2016,"Decreasing","Neotropical","Terrestrial","Global","23 July 2015",NA,"Residential & commercial development;Invasive and other problematic species, genes & diseases","Shrubland"
"Greater Martinique Skink","animalia","reptilia","chordata","Mabuya mabouya","scincidae","mabouya","squamata","mabuya",2016,"Unknown","Neotropical","Terrestrial","Global","24 July 2015",NA,"Residential & commercial development;Agriculture & aquaculture;Invasive and other problematic species, genes & diseases","Unknown"
"Anegada Skink","animalia","reptilia","chordata","Spondylurus anegadeae","scincidae","anegadeae","squamata","spondylurus",2016,"Unknown","Neotropical","Terrestrial","Global","24 July 2015",NA,"Residential & commercial development;Invasive and other problematic species, genes & diseases","Forest"
"Bachman's Warbler","animalia","aves","chordata","Vermivora bachmanii","parulidae","bachmanii","passeriformes","vermivora",2017,"Unknown","Nearctic;Neotropical","Terrestrial","Global","01 October 2016",NA,"Agriculture & aquaculture;Natural system modifications","Forest;Shrubland"
"Isabela Oriole","animalia","aves","chordata","Oriolus isabellae","oriolidae","isabellae","passeriformes","oriolus",2017,"Decreasing","Indomalayan","Terrestrial","Global","01 October 2016",NA,"Agriculture & aquaculture;Biological resource use;Invasive and other problematic species, genes & diseases;Climate change & severe weather","Forest"
"Principe Thrush","animalia","aves","chordata","Turdus xanthorhynchus","turdidae","xanthorhynchus","passeriformes","turdus",2017,"Decreasing","Afrotropical","Terrestrial","Global","01 October 2016",NA,"Residential & commercial development;Agriculture & aquaculture;Biological resource use;Invasive and other problematic species, genes & diseases","Forest"
NA,"animalia","actinopterygii","chordata","Enteromius carcharhinoides","cyprinidae","carcharhinoides","cypriniformes","enteromius",2018,"Unknown","Afrotropical","Freshwater (=Inland waters)","Global;Western Africa;Pan-Africa","07 December 2006",NA,"Energy production & mining;Biological resource use;Human intrusions & disturbance;Pollution","Wetlands (inland)"
"Redonda Ameiva","animalia","reptilia","chordata","Pholidoscelis atratus","teiidae","atratus","squamata","pholidoscelis",2017,"Decreasing","Neotropical","Terrestrial","Global","22 July 2015",NA,"Invasive and other problematic species, genes & diseases","Shrubland;Marine Intertidal"
NA,"animalia","actinopterygii","chordata","Enteromius boboi","cyprinidae","boboi","cypriniformes","enteromius",2018,"Unknown","Afrotropical","Freshwater (=Inland waters)","Global;Western Africa;Pan-Africa","07 December 2006",NA,"Energy production & mining;Pollution","Wetlands (inland)"
"Montane Monkey-faced Bat","animalia","mammalia","chordata","Pteralopex pulchra","pteropodidae","pulchra","chiroptera","pteralopex",2018,"Decreasing","Australasian","Terrestrial","Global","13 June 2016",NA,"","Forest"
"Siau Scops-owl","animalia","aves","chordata","Otus siaoensis","strigidae","siaoensis","strigiformes","otus",2016,"Unknown","Oceanian","Terrestrial","Global","01 October 2016",NA,"Agriculture & aquaculture;Biological resource use","Forest;Artificial/Terrestrial"
NA,"animalia","gastropoda","mollusca","Succinea rotumana","succineidae","rotumana","stylommatophora","succinea",2012,"Unknown","Oceanian","Terrestrial","Global","24 July 2011",NA,"Residential & commercial development;Agriculture & aquaculture;Invasive and other problematic species, genes & diseases","Forest"
NA,"animalia","reptilia","chordata","Omoadiphas texiguatensis","dipsadidae","texiguatensis","squamata","omoadiphas",2013,"Decreasing","Neotropical","Terrestrial","Global","08 May 2012",NA,"Agriculture & aquaculture;Climate change & severe weather","Forest"
NA,"animalia","gastropoda","mollusca","Tandonia lagostana","milacidae","lagostana","stylommatophora","tandonia",2017,"Unknown","Palearctic","Terrestrial","Global;Europe","17 November 2016",NA,"Residential & commercial development;Natural system modifications","Shrubland"
NA,"animalia","bivalvia","mollusca","Pegias fabula","unionidae","fabula","unionoida","pegias",2012,"Decreasing","Nearctic","Freshwater (=Inland waters)","Global","07 June 2012",NA,"Residential & commercial development;Agriculture & aquaculture;Energy production & mining;Biological resource use;Natural system modifications;Pollution","Wetlands (inland)"
NA,"animalia","bivalvia","mollusca","Physunio ferrugineus","unionidae","ferrugineus","unionoida","physunio",2012,"Unknown","Indomalayan","Freshwater (=Inland waters)","Global","05 March 2010",NA,"Residential & commercial development;Pollution","Wetlands (inland)"
"Ash Meadows Pebblesnail","animalia","gastropoda","mollusca","Pyrgulopsis erythropoma","hydrobiidae","erythropoma","littorinimorpha","pyrgulopsis",2012,"Unknown","Nearctic","Freshwater (=Inland waters)","Global","12 March 2012",NA,"Natural system modifications","Wetlands (inland)"
